keywords,label,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
Vigoride,satellite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,2,3,4,0,1,0,0,2,7,4,7,2,0,2,8,6,0,0,5,0,1,4,3,5,1,6,3,0,8,0,0,0,6,0,2,13,0,6,0,0,5,0,2,1,7,0,2,0,0,7
Virgin Galactic,com,0,11,13,4,9,15,3,10,3,8,0,9,6,1,4,6,7,5,16,6,2,6,0,39,22,31,3,6,13,0,25,10,2,50,12,3,13,19,18,4,17,22,23,15,0,12,23,15,9,20,41,1,30,23,35,27,33,17,11,11,3,21,0,2,8,5,16,4,0,0,14,1,8,10,11,13,13,37,7,0
Virgin Orbit,com,0,0,9,1,0,7,2,16,10,4,9,3,7,6,3,9,12,11,23,21,7,5,12,13,2,10,3,11,3,27,22,16,18,14,12,10,4,12,29,21,16,13,11,13,8,19,8,2,22,13,7,3,15,22,4,38,24,1,25,44,37,5,21,8,19,9,23,10,4,15,17,23,38,21,24,34,49,12,6,1
Virginia,loc,0,1,0,2,0,2,1,2,0,5,0,1,1,8,1,2,2,0,2,2,1,5,5,2,3,3,2,6,2,2,1,3,3,3,2,10,2,8,6,6,3,2,7,5,4,3,1,2,5,3,6,0,2,5,1,5,1,3,2,4,2,9,4,5,1,1,4,1,0,2,6,9,5,3,8,5,8,2,6,0
Voyager,com,2,0,0,0,0,3,0,1,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,19,0,0,1,0,0,0,3,0,9,4,5,0,7,12,0,0,2,6,7,6,0,1,0,7,12,11,0,0,0,1,2,2,0,0,0,0,0,2,2,0,11,1,0,1,32,0
Vulcan,com,1,1,12,16,9,6,3,6,2,13,6,7,0,5,25,4,9,10,1,10,17,27,0,0,4,1,3,15,14,0,0,38,3,13,6,3,4,3,12,3,2,2,2,11,10,3,7,18,2,8,2,4,15,9,3,45,1,0,0,6,11,6,7,21,6,10,1,0,4,14,10,2,7,16,4,22,6,13,20,1
Vulcan Centaur,rocket,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,1,1,6,2,0,0,0,3,5,9,0,0,10,0,5,4,0,0,0,2,0,0,0,7,9,15,0,5,2,6,0,0,4,6,2,2,5,1,0,0,4,3,7,3,11,5,4,4,3,4,9,3,6,2,8,5,7,4,6,8,2
WASHINGTON,loc,12,13,8,6,9,11,8,11,8,9,13,11,11,9,20,19,5,7,11,7,4,13,3,9,11,16,10,8,10,14,6,4,8,12,3,9,13,11,25,18,11,16,16,21,9,11,22,13,17,15,12,11,13,13,10,17,10,13,22,13,16,9,13,7,10,6,12,7,6,13,11,9,13,12,9,8,15,15,15,0
WFIRST,term,0,1,2,0,10,7,2,0,0,8,14,2,8,19,23,11,33,9,14,0,7,0,4,0,3,1,20,8,2,0,2,0,6,0,9,1,0,3,8,0,1,2,2,0,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WGS,term,1,0,10,0,3,0,4,0,0,0,2,7,3,0,11,12,24,4,0,5,1,0,10,7,3,2,12,5,6,0,0,0,0,13,5,8,0,1,2,0,0,0,1,0,2,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,13,6,0,2,1,0,0,0,0,0,2,0,4,14,4,0,0,0,0
Washington,loc,5,4,4,5,4,4,5,3,3,6,0,4,4,3,5,4,2,7,1,3,7,12,2,2,3,4,5,4,3,3,1,7,1,1,5,3,2,1,7,4,3,1,7,1,1,2,7,6,2,5,4,2,6,2,1,6,1,3,1,5,5,8,3,7,5,3,1,1,3,1,1,1,0,6,1,3,4,2,4,0
We,com,3,2,1,8,1,2,3,5,4,6,1,5,4,2,6,8,11,11,6,7,13,19,3,3,5,6,7,6,6,4,4,5,3,8,6,1,2,2,8,5,6,4,2,2,4,4,2,2,0,5,3,3,3,3,3,3,6,2,5,2,0,3,2,6,5,0,2,3,4,5,4,4,2,3,2,6,3,6,6,0
Wenchang,loc,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,1,1,2,2,4,7,8,5,3,1,1,1,1,5,4,4,4,6,10,15,4,2,0,4,4,2,8,2,2,3,2,8,5,2,4,0,6,2,2,0,7,8,1,0,4,4,0,0
White House,org,13,11,18,14,20,16,35,5,11,6,6,11,11,13,18,11,18,29,13,22,15,16,20,18,28,16,22,12,15,18,18,16,14,13,10,13,10,12,17,6,15,3,10,9,9,1,10,12,7,22,24,33,24,3,9,11,2,1,7,12,3,6,1,10,4,8,15,8,5,3,5,6,2,16,17,1,8,6,5,1
Wi-Fi,term,1,0,0,0,0,0,0,2,0,1,0,1,3,1,1,3,4,2,2,1,1,4,0,0,2,3,4,0,2,1,0,1,4,4,1,3,2,4,6,0,2,0,5,1,3,0,0,1,8,1,1,0,1,0,2,1,0,2,1,0,0,0,0,6,4,0,4,1,0,6,2,0,7,3,4,1,5,1,0,0
Wilson,com,3,0,2,0,1,3,0,1,2,1,0,5,5,3,3,13,2,1,3,1,27,11,5,7,1,0,7,14,5,2,6,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World View,com,7,14,0,1,0,9,2,1,0,0,0,0,5,1,11,2,0,0,0,0,1,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,1,0,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0
WorldView Legion,term,0,6,0,0,2,0,3,0,0,6,1,0,0,0,0,1,3,0,3,0,0,0,1,7,3,5,1,0,1,1,3,0,2,2,7,1,0,0,0,0,11,3,0,2,0,0,3,0,1,4,0,2,1,0,0,2,0,4,0,0,0,0,0,1,3,1,0,1,1,0,1,2,0,3,1,4,2,0,0,0
